DateKey,Date,Day,Weeknbr,Month,MonthShrt,MonthNo,Qtr,Year
20220211,2/11/2022,Friday,7,February,Feb,2,1,2022
20220212,2/12/2022,Saturday,7,February,Feb,2,1,2022
20220213,2/13/2022,Sunday,8,February,Feb,2,1,2022
20220214,2/14/2022,Monday,8,February,Feb,2,1,2022
20220215,2/15/2022,Tuesday,8,February,Feb,2,1,2022
20220216,2/16/2022,Wednesday,8,February,Feb,2,1,2022
20220217,2/17/2022,Thursday,8,February,Feb,2,1,2022
20220218,2/18/2022,Friday,8,February,Feb,2,1,2022
20220219,2/19/2022,Saturday,8,February,Feb,2,1,2022
20220220,2/20/2022,Sunday,9,February,Feb,2,1,2022
20220221,2/21/2022,Monday,9,February,Feb,2,1,2022
20220222,2/22/2022,Tuesday,9,February,Feb,2,1,2022
20220223,2/23/2022,Wednesday,9,February,Feb,2,1,2022
20220224,2/24/2022,Thursday,9,February,Feb,2,1,2022
20220225,2/25/2022,Friday,9,February,Feb,2,1,2022
20220226,2/26/2022,Saturday,9,February,Feb,2,1,2022
20220227,2/27/2022,Sunday,10,February,Feb,2,1,2022
20220228,2/28/2022,Monday,10,February,Feb,2,1,2022
20220301,3/1/2022,Tuesday,10,March,Mar,3,1,2022
20220302,3/2/2022,Wednesday,10,March,Mar,3,1,2022
20220303,3/3/2022,Thursday,10,March,Mar,3,1,2022
20220304,3/4/2022,Friday,10,March,Mar,3,1,2022
20220305,3/5/2022,Saturday,10,March,Mar,3,1,2022
20220306,3/6/2022,Sunday,11,March,Mar,3,1,2022
20220307,3/7/2022,Monday,11,March,Mar,3,1,2022
20220308,3/8/2022,Tuesday,11,March,Mar,3,1,2022
20220309,3/9/2022,Wednesday,11,March,Mar,3,1,2022
20220310,3/10/2022,Thursday,11,March,Mar,3,1,2022
20220311,3/11/2022,Friday,11,March,Mar,3,1,2022
20220312,3/12/2022,Saturday,11,March,Mar,3,1,2022
20220313,3/13/2022,Sunday,12,March,Mar,3,1,2022
20220314,3/14/2022,Monday,12,March,Mar,3,1,2022
20220315,3/15/2022,Tuesday,12,March,Mar,3,1,2022
20220316,3/16/2022,Wednesday,12,March,Mar,3,1,2022
20220317,3/17/2022,Thursday,12,March,Mar,3,1,2022
20220318,3/18/2022,Friday,12,March,Mar,3,1,2022
20220319,3/19/2022,Saturday,12,March,Mar,3,1,2022
20220320,3/20/2022,Sunday,13,March,Mar,3,1,2022
20220321,3/21/2022,Monday,13,March,Mar,3,1,2022
20220322,3/22/2022,Tuesday,13,March,Mar,3,1,2022
20220323,3/23/2022,Wednesday,13,March,Mar,3,1,2022
20220324,3/24/2022,Thursday,13,March,Mar,3,1,2022
20220325,3/25/2022,Friday,13,March,Mar,3,1,2022
20220326,3/26/2022,Saturday,13,March,Mar,3,1,2022
20220327,3/27/2022,Sunday,14,March,Mar,3,1,2022
20220328,3/28/2022,Monday,14,March,Mar,3,1,2022
20220329,3/29/2022,Tuesday,14,March,Mar,3,1,2022
20220330,3/30/2022,Wednesday,14,March,Mar,3,1,2022
20220331,3/31/2022,Thursday,14,March,Mar,3,1,2022
20220401,4/1/2022,Friday,14,April,Apr,4,2,2022
20220402,4/2/2022,Saturday,14,April,Apr,4,2,2022
20220403,4/3/2022,Sunday,15,April,Apr,4,2,2022
20220404,4/4/2022,Monday,15,April,Apr,4,2,2022
20220405,4/5/2022,Tuesday,15,April,Apr,4,2,2022
20220406,4/6/2022,Wednesday,15,April,Apr,4,2,2022
20220407,4/7/2022,Thursday,15,April,Apr,4,2,2022
20220408,4/8/2022,Friday,15,April,Apr,4,2,2022
20220409,4/9/2022,Saturday,15,April,Apr,4,2,2022
20220410,4/10/2022,Sunday,16,April,Apr,4,2,2022
20220411,4/11/2022,Monday,16,April,Apr,4,2,2022
20220412,4/12/2022,Tuesday,16,April,Apr,4,2,2022
20220413,4/13/2022,Wednesday,16,April,Apr,4,2,2022
20220414,4/14/2022,Thursday,16,April,Apr,4,2,2022
20220415,4/15/2022,Friday,16,April,Apr,4,2,2022
20220416,4/16/2022,Saturday,16,April,Apr,4,2,2022
20220417,4/17/2022,Sunday,17,April,Apr,4,2,2022
20220418,4/18/2022,Monday,17,April,Apr,4,2,2022
20220419,4/19/2022,Tuesday,17,April,Apr,4,2,2022
20220420,4/20/2022,Wednesday,17,April,Apr,4,2,2022
20220421,4/21/2022,Thursday,17,April,Apr,4,2,2022
20220422,4/22/2022,Friday,17,April,Apr,4,2,2022
20220423,4/23/2022,Saturday,17,April,Apr,4,2,2022
20220424,4/24/2022,Sunday,18,April,Apr,4,2,2022
20220425,4/25/2022,Monday,18,April,Apr,4,2,2022
20220426,4/26/2022,Tuesday,18,April,Apr,4,2,2022
20220427,4/27/2022,Wednesday,18,April,Apr,4,2,2022
20220428,4/28/2022,Thursday,18,April,Apr,4,2,2022
20220429,4/29/2022,Friday,18,April,Apr,4,2,2022
20220430,4/30/2022,Saturday,18,April,Apr,4,2,2022
20220501,5/1/2022,Sunday,19,May,May,5,2,2022
20220502,5/2/2022,Monday,19,May,May,5,2,2022
20220503,5/3/2022,Tuesday,19,May,May,5,2,2022
20220504,5/4/2022,Wednesday,19,May,May,5,2,2022
20220505,5/5/2022,Thursday,19,May,May,5,2,2022
20220506,5/6/2022,Friday,19,May,May,5,2,2022
20220507,5/7/2022,Saturday,19,May,May,5,2,2022
20220508,5/8/2022,Sunday,20,May,May,5,2,2022
20220509,5/9/2022,Monday,20,May,May,5,2,2022
20220510,5/10/2022,Tuesday,20,May,May,5,2,2022
20220511,5/11/2022,Wednesday,20,May,May,5,2,2022
20220512,5/12/2022,Thursday,20,May,May,5,2,2022
20220513,5/13/2022,Friday,20,May,May,5,2,2022
20220514,5/14/2022,Saturday,20,May,May,5,2,2022
20220515,5/15/2022,Sunday,21,May,May,5,2,2022
20220516,5/16/2022,Monday,21,May,May,5,2,2022
20220517,5/17/2022,Tuesday,21,May,May,5,2,2022
20220518,5/18/2022,Wednesday,21,May,May,5,2,2022
20220519,5/19/2022,Thursday,21,May,May,5,2,2022
20220520,5/20/2022,Friday,21,May,May,5,2,2022
20220521,5/21/2022,Saturday,21,May,May,5,2,2022
20220522,5/22/2022,Sunday,22,May,May,5,2,2022
20220523,5/23/2022,Monday,22,May,May,5,2,2022
20220524,5/24/2022,Tuesday,22,May,May,5,2,2022
20220525,5/25/2022,Wednesday,22,May,May,5,2,2022
20220526,5/26/2022,Thursday,22,May,May,5,2,2022
20220527,5/27/2022,Friday,22,May,May,5,2,2022
20220528,5/28/2022,Saturday,22,May,May,5,2,2022
20220529,5/29/2022,Sunday,23,May,May,5,2,2022
20220530,5/30/2022,Monday,23,May,May,5,2,2022
20220531,5/31/2022,Tuesday,23,May,May,5,2,2022
20220601,6/1/2022,Wednesday,23,June,Jun,6,2,2022
20220602,6/2/2022,Thursday,23,June,Jun,6,2,2022
20220603,6/3/2022,Friday,23,June,Jun,6,2,2022
20220604,6/4/2022,Saturday,23,June,Jun,6,2,2022
20220605,6/5/2022,Sunday,24,June,Jun,6,2,2022
20220606,6/6/2022,Monday,24,June,Jun,6,2,2022
20220607,6/7/2022,Tuesday,24,June,Jun,6,2,2022
20220608,6/8/2022,Wednesday,24,June,Jun,6,2,2022
20220609,6/9/2022,Thursday,24,June,Jun,6,2,2022
20220610,6/10/2022,Friday,24,June,Jun,6,2,2022
20220611,6/11/2022,Saturday,24,June,Jun,6,2,2022
20220612,6/12/2022,Sunday,25,June,Jun,6,2,2022
20220613,6/13/2022,Monday,25,June,Jun,6,2,2022
20220614,6/14/2022,Tuesday,25,June,Jun,6,2,2022
20220615,6/15/2022,Wednesday,25,June,Jun,6,2,2022
20220616,6/16/2022,Thursday,25,June,Jun,6,2,2022
20220617,6/17/2022,Friday,25,June,Jun,6,2,2022
20220618,6/18/2022,Saturday,25,June,Jun,6,2,2022
20220619,6/19/2022,Sunday,26,June,Jun,6,2,2022
20220620,6/20/2022,Monday,26,June,Jun,6,2,2022
20220621,6/21/2022,Tuesday,26,June,Jun,6,2,2022
20220622,6/22/2022,Wednesday,26,June,Jun,6,2,2022
20220623,6/23/2022,Thursday,26,June,Jun,6,2,2022
20220624,6/24/2022,Friday,26,June,Jun,6,2,2022
20220625,6/25/2022,Saturday,26,June,Jun,6,2,2022
20220626,6/26/2022,Sunday,27,June,Jun,6,2,2022
20220627,6/27/2022,Monday,27,June,Jun,6,2,2022
20220628,6/28/2022,Tuesday,27,June,Jun,6,2,2022
20220629,6/29/2022,Wednesday,27,June,Jun,6,2,2022
20220630,6/30/2022,Thursday,27,June,Jun,6,2,2022
20220701,7/1/2022,Friday,27,July,Jul,7,3,2022
20220702,7/2/2022,Saturday,27,July,Jul,7,3,2022
20220703,7/3/2022,Sunday,28,July,Jul,7,3,2022
20220704,7/4/2022,Monday,28,July,Jul,7,3,2022
20220705,7/5/2022,Tuesday,28,July,Jul,7,3,2022
20220706,7/6/2022,Wednesday,28,July,Jul,7,3,2022
20220707,7/7/2022,Thursday,28,July,Jul,7,3,2022
20220708,7/8/2022,Friday,28,July,Jul,7,3,2022
20220709,7/9/2022,Saturday,28,July,Jul,7,3,2022
20220710,7/10/2022,Sunday,29,July,Jul,7,3,2022
20220711,7/11/2022,Monday,29,July,Jul,7,3,2022
20220712,7/12/2022,Tuesday,29,July,Jul,7,3,2022
20220713,7/13/2022,Wednesday,29,July,Jul,7,3,2022
20220714,7/14/2022,Thursday,29,July,Jul,7,3,2022
20220715,7/15/2022,Friday,29,July,Jul,7,3,2022
20220716,7/16/2022,Saturday,29,July,Jul,7,3,2022
20220717,7/17/2022,Sunday,30,July,Jul,7,3,2022
20220718,7/18/2022,Monday,30,July,Jul,7,3,2022
20220719,7/19/2022,Tuesday,30,July,Jul,7,3,2022
20220720,7/20/2022,Wednesday,30,July,Jul,7,3,2022
20220721,7/21/2022,Thursday,30,July,Jul,7,3,2022
20220722,7/22/2022,Friday,30,July,Jul,7,3,2022
20220723,7/23/2022,Saturday,30,July,Jul,7,3,2022
20220724,7/24/2022,Sunday,31,July,Jul,7,3,2022
20220725,7/25/2022,Monday,31,July,Jul,7,3,2022
20220726,7/26/2022,Tuesday,31,July,Jul,7,3,2022
20220727,7/27/2022,Wednesday,31,July,Jul,7,3,2022
20220728,7/28/2022,Thursday,31,July,Jul,7,3,2022
20220729,7/29/2022,Friday,31,July,Jul,7,3,2022
20220730,7/30/2022,Saturday,31,July,Jul,7,3,2022
20220731,7/31/2022,Sunday,32,July,Jul,7,3,2022
20220801,8/1/2022,Monday,32,August,Aug,8,3,2022
20220802,8/2/2022,Tuesday,32,August,Aug,8,3,2022
20220803,8/3/2022,Wednesday,32,August,Aug,8,3,2022
20220804,8/4/2022,Thursday,32,August,Aug,8,3,2022
20220805,8/5/2022,Friday,32,August,Aug,8,3,2022
20220806,8/6/2022,Saturday,32,August,Aug,8,3,2022
20220807,8/7/2022,Sunday,33,August,Aug,8,3,2022
20220808,8/8/2022,Monday,33,August,Aug,8,3,2022
20220809,8/9/2022,Tuesday,33,August,Aug,8,3,2022
20220810,8/10/2022,Wednesday,33,August,Aug,8,3,2022
20220811,8/11/2022,Thursday,33,August,Aug,8,3,2022
20220812,8/12/2022,Friday,33,August,Aug,8,3,2022
20220813,8/13/2022,Saturday,33,August,Aug,8,3,2022
20220814,8/14/2022,Sunday,34,August,Aug,8,3,2022
20220815,8/15/2022,Monday,34,August,Aug,8,3,2022
20220816,8/16/2022,Tuesday,34,August,Aug,8,3,2022
20220817,8/17/2022,Wednesday,34,August,Aug,8,3,2022
20220818,8/18/2022,Thursday,34,August,Aug,8,3,2022
20220819,8/19/2022,Friday,34,August,Aug,8,3,2022
20220820,8/20/2022,Saturday,34,August,Aug,8,3,2022
20220821,8/21/2022,Sunday,35,August,Aug,8,3,2022
20220822,8/22/2022,Monday,35,August,Aug,8,3,2022
20220823,8/23/2022,Tuesday,35,August,Aug,8,3,2022
20220824,8/24/2022,Wednesday,35,August,Aug,8,3,2022
20220825,8/25/2022,Thursday,35,August,Aug,8,3,2022
20220826,8/26/2022,Friday,35,August,Aug,8,3,2022
20220827,8/27/2022,Saturday,35,August,Aug,8,3,2022
20220828,8/28/2022,Sunday,36,August,Aug,8,3,2022
20220829,8/29/2022,Monday,36,August,Aug,8,3,2022
20220830,8/30/2022,Tuesday,36,August,Aug,8,3,2022
20220831,8/31/2022,Wednesday,36,August,Aug,8,3,2022
20220901,9/1/2022,Thursday,36,September,Sep,9,3,2022
20220902,9/2/2022,Friday,36,September,Sep,9,3,2022
20220903,9/3/2022,Saturday,36,September,Sep,9,3,2022
20220904,9/4/2022,Sunday,37,September,Sep,9,3,2022
20220905,9/5/2022,Monday,37,September,Sep,9,3,2022
20220906,9/6/2022,Tuesday,37,September,Sep,9,3,2022
20220907,9/7/2022,Wednesday,37,September,Sep,9,3,2022
20220908,9/8/2022,Thursday,37,September,Sep,9,3,2022
20220909,9/9/2022,Friday,37,September,Sep,9,3,2022
20220910,9/10/2022,Saturday,37,September,Sep,9,3,2022
20220911,9/11/2022,Sunday,38,September,Sep,9,3,2022
20220912,9/12/2022,Monday,38,September,Sep,9,3,2022
20220913,9/13/2022,Tuesday,38,September,Sep,9,3,2022
20220914,9/14/2022,Wednesday,38,September,Sep,9,3,2022
20220915,9/15/2022,Thursday,38,September,Sep,9,3,2022
20220916,9/16/2022,Friday,38,September,Sep,9,3,2022
20220917,9/17/2022,Saturday,38,September,Sep,9,3,2022
20220918,9/18/2022,Sunday,39,September,Sep,9,3,2022
20220919,9/19/2022,Monday,39,September,Sep,9,3,2022
20220920,9/20/2022,Tuesday,39,September,Sep,9,3,2022
20220921,9/21/2022,Wednesday,39,September,Sep,9,3,2022
20220922,9/22/2022,Thursday,39,September,Sep,9,3,2022
20220923,9/23/2022,Friday,39,September,Sep,9,3,2022
20220924,9/24/2022,Saturday,39,September,Sep,9,3,2022
20220925,9/25/2022,Sunday,40,September,Sep,9,3,2022
20220926,9/26/2022,Monday,40,September,Sep,9,3,2022
20220927,9/27/2022,Tuesday,40,September,Sep,9,3,2022
20220928,9/28/2022,Wednesday,40,September,Sep,9,3,2022
20220929,9/29/2022,Thursday,40,September,Sep,9,3,2022
20220930,9/30/2022,Friday,40,September,Sep,9,3,2022
20221001,10/1/2022,Saturday,40,October,Oct,10,4,2022
20221002,10/2/2022,Sunday,41,October,Oct,10,4,2022
20221003,10/3/2022,Monday,41,October,Oct,10,4,2022
20221004,10/4/2022,Tuesday,41,October,Oct,10,4,2022
20221005,10/5/2022,Wednesday,41,October,Oct,10,4,2022
20221006,10/6/2022,Thursday,41,October,Oct,10,4,2022
20221007,10/7/2022,Friday,41,October,Oct,10,4,2022
20221008,10/8/2022,Saturday,41,October,Oct,10,4,2022
20221009,10/9/2022,Sunday,42,October,Oct,10,4,2022
20221010,10/10/2022,Monday,42,October,Oct,10,4,2022
20221011,10/11/2022,Tuesday,42,October,Oct,10,4,2022
20221012,10/12/2022,Wednesday,42,October,Oct,10,4,2022
20221013,10/13/2022,Thursday,42,October,Oct,10,4,2022
20221014,10/14/2022,Friday,42,October,Oct,10,4,2022
20221015,10/15/2022,Saturday,42,October,Oct,10,4,2022
20221016,10/16/2022,Sunday,43,October,Oct,10,4,2022
20221017,10/17/2022,Monday,43,October,Oct,10,4,2022
20221018,10/18/2022,Tuesday,43,October,Oct,10,4,2022
20221019,10/19/2022,Wednesday,43,October,Oct,10,4,2022
20221020,10/20/2022,Thursday,43,October,Oct,10,4,2022
20221021,10/21/2022,Friday,43,October,Oct,10,4,2022
20221022,10/22/2022,Saturday,43,October,Oct,10,4,2022
20221023,10/23/2022,Sunday,44,October,Oct,10,4,2022
20221024,10/24/2022,Monday,44,October,Oct,10,4,2022
20221025,10/25/2022,Tuesday,44,October,Oct,10,4,2022
20221026,10/26/2022,Wednesday,44,October,Oct,10,4,2022
20221027,10/27/2022,Thursday,44,October,Oct,10,4,2022
20221028,10/28/2022,Friday,44,October,Oct,10,4,2022
20221029,10/29/2022,Saturday,44,October,Oct,10,4,2022
20221030,10/30/2022,Sunday,45,October,Oct,10,4,2022
20221031,10/31/2022,Monday,45,October,Oct,10,4,2022
20221101,11/1/2022,Tuesday,45,November,Nov,11,4,2022
20221102,11/2/2022,Wednesday,45,November,Nov,11,4,2022
20221103,11/3/2022,Thursday,45,November,Nov,11,4,2022
20221104,11/4/2022,Friday,45,November,Nov,11,4,2022
20221105,11/5/2022,Saturday,45,November,Nov,11,4,2022
20221106,11/6/2022,Sunday,46,November,Nov,11,4,2022
20221107,11/7/2022,Monday,46,November,Nov,11,4,2022
20221108,11/8/2022,Tuesday,46,November,Nov,11,4,2022
20221109,11/9/2022,Wednesday,46,November,Nov,11,4,2022
20221110,11/10/2022,Thursday,46,November,Nov,11,4,2022
20221111,11/11/2022,Friday,46,November,Nov,11,4,2022
20221112,11/12/2022,Saturday,46,November,Nov,11,4,2022
20221113,11/13/2022,Sunday,47,November,Nov,11,4,2022
20221114,11/14/2022,Monday,47,November,Nov,11,4,2022
20221115,11/15/2022,Tuesday,47,November,Nov,11,4,2022
20221116,11/16/2022,Wednesday,47,November,Nov,11,4,2022
20221117,11/17/2022,Thursday,47,November,Nov,11,4,2022
20221118,11/18/2022,Friday,47,November,Nov,11,4,2022
20221119,11/19/2022,Saturday,47,November,Nov,11,4,2022
20221120,11/20/2022,Sunday,48,November,Nov,11,4,2022
20221121,11/21/2022,Monday,48,November,Nov,11,4,2022
20221122,11/22/2022,Tuesday,48,November,Nov,11,4,2022
20221123,11/23/2022,Wednesday,48,November,Nov,11,4,2022
20221124,11/24/2022,Thursday,48,November,Nov,11,4,2022
20221125,11/25/2022,Friday,48,November,Nov,11,4,2022
20221126,11/26/2022,Saturday,48,November,Nov,11,4,2022
20221127,11/27/2022,Sunday,49,November,Nov,11,4,2022
20221128,11/28/2022,Monday,49,November,Nov,11,4,2022
20221129,11/29/2022,Tuesday,49,November,Nov,11,4,2022
20221130,11/30/2022,Wednesday,49,November,Nov,11,4,2022
20221201,12/1/2022,Thursday,49,December,Dec,12,4,2022
20221202,12/2/2022,Friday,49,December,Dec,12,4,2022
20221203,12/3/2022,Saturday,49,December,Dec,12,4,2022
20221204,12/4/2022,Sunday,50,December,Dec,12,4,2022
20221205,12/5/2022,Monday,50,December,Dec,12,4,2022
20221206,12/6/2022,Tuesday,50,December,Dec,12,4,2022
20221207,12/7/2022,Wednesday,50,December,Dec,12,4,2022
20221208,12/8/2022,Thursday,50,December,Dec,12,4,2022
20221209,12/9/2022,Friday,50,December,Dec,12,4,2022
20221210,12/10/2022,Saturday,50,December,Dec,12,4,2022
20221211,12/11/2022,Sunday,51,December,Dec,12,4,2022
20221212,12/12/2022,Monday,51,December,Dec,12,4,2022
20221213,12/13/2022,Tuesday,51,December,Dec,12,4,2022
20221214,12/14/2022,Wednesday,51,December,Dec,12,4,2022
20221215,12/15/2022,Thursday,51,December,Dec,12,4,2022
20221216,12/16/2022,Friday,51,December,Dec,12,4,2022
20221217,12/17/2022,Saturday,51,December,Dec,12,4,2022
20221218,12/18/2022,Sunday,52,December,Dec,12,4,2022
20221219,12/19/2022,Monday,52,December,Dec,12,4,2022
20221220,12/20/2022,Tuesday,52,December,Dec,12,4,2022
20221221,12/21/2022,Wednesday,52,December,Dec,12,4,2022
20221222,12/22/2022,Thursday,52,December,Dec,12,4,2022
20221223,12/23/2022,Friday,52,December,Dec,12,4,2022
20221224,12/24/2022,Saturday,52,December,Dec,12,4,2022
20221225,12/25/2022,Sunday,53,December,Dec,12,4,2022
20221226,12/26/2022,Monday,53,December,Dec,12,4,2022
20221227,12/27/2022,Tuesday,53,December,Dec,12,4,2022
20221228,12/28/2022,Wednesday,53,December,Dec,12,4,2022
20221229,12/29/2022,Thursday,53,December,Dec,12,4,2022
20221230,12/30/2022,Friday,53,December,Dec,12,4,2022
20221231,12/31/2022,Saturday,53,December,Dec,12,4,2022
20230101,1/1/2023,Sunday,1,January,Jan,1,1,2023
20230102,1/2/2023,Monday,1,January,Jan,1,1,2023
20230103,1/3/2023,Tuesday,1,January,Jan,1,1,2023
20230104,1/4/2023,Wednesday,1,January,Jan,1,1,2023
20230105,1/5/2023,Thursday,1,January,Jan,1,1,2023
20230106,1/6/2023,Friday,1,January,Jan,1,1,2023
20230107,1/7/2023,Saturday,1,January,Jan,1,1,2023
20230108,1/8/2023,Sunday,2,January,Jan,1,1,2023
20230109,1/9/2023,Monday,2,January,Jan,1,1,2023
20230110,1/10/2023,Tuesday,2,January,Jan,1,1,2023
20230111,1/11/2023,Wednesday,2,January,Jan,1,1,2023
20230112,1/12/2023,Thursday,2,January,Jan,1,1,2023
20230113,1/13/2023,Friday,2,January,Jan,1,1,2023
20230114,1/14/2023,Saturday,2,January,Jan,1,1,2023
20230115,1/15/2023,Sunday,3,January,Jan,1,1,2023
20230116,1/16/2023,Monday,3,January,Jan,1,1,2023
20230117,1/17/2023,Tuesday,3,January,Jan,1,1,2023
20230118,1/18/2023,Wednesday,3,January,Jan,1,1,2023
20230119,1/19/2023,Thursday,3,January,Jan,1,1,2023
20230120,1/20/2023,Friday,3,January,Jan,1,1,2023
20230121,1/21/2023,Saturday,3,January,Jan,1,1,2023
20230122,1/22/2023,Sunday,4,January,Jan,1,1,2023
20230123,1/23/2023,Monday,4,January,Jan,1,1,2023
20230124,1/24/2023,Tuesday,4,January,Jan,1,1,2023
20230125,1/25/2023,Wednesday,4,January,Jan,1,1,2023
20230126,1/26/2023,Thursday,4,January,Jan,1,1,2023
20230127,1/27/2023,Friday,4,January,Jan,1,1,2023
20230128,1/28/2023,Saturday,4,January,Jan,1,1,2023
20230129,1/29/2023,Sunday,5,January,Jan,1,1,2023
20230130,1/30/2023,Monday,5,January,Jan,1,1,2023
20230131,1/31/2023,Tuesday,5,January,Jan,1,1,2023
20230201,2/1/2023,Wednesday,5,February,Feb,2,1,2023
20230202,2/2/2023,Thursday,5,February,Feb,2,1,2023
20230203,2/3/2023,Friday,5,February,Feb,2,1,2023
20230204,2/4/2023,Saturday,5,February,Feb,2,1,2023
20230205,2/5/2023,Sunday,6,February,Feb,2,1,2023
20230206,2/6/2023,Monday,6,February,Feb,2,1,2023
20230207,2/7/2023,Tuesday,6,February,Feb,2,1,2023
20230208,2/8/2023,Wednesday,6,February,Feb,2,1,2023
20230209,2/9/2023,Thursday,6,February,Feb,2,1,2023
20230210,2/10/2023,Friday,6,February,Feb,2,1,2023
20230211,2/11/2023,Saturday,6,February,Feb,2,1,2023
20230212,2/12/2023,Sunday,7,February,Feb,2,1,2023
20230213,2/13/2023,Monday,7,February,Feb,2,1,2023
20230214,2/14/2023,Tuesday,7,February,Feb,2,1,2023
20230215,2/15/2023,Wednesday,7,February,Feb,2,1,2023
20230216,2/16/2023,Thursday,7,February,Feb,2,1,2023
20230217,2/17/2023,Friday,7,February,Feb,2,1,2023
20230218,2/18/2023,Saturday,7,February,Feb,2,1,2023
20230219,2/19/2023,Sunday,8,February,Feb,2,1,2023
20230220,2/20/2023,Monday,8,February,Feb,2,1,2023
20230221,2/21/2023,Tuesday,8,February,Feb,2,1,2023
20230222,2/22/2023,Wednesday,8,February,Feb,2,1,2023
20230223,2/23/2023,Thursday,8,February,Feb,2,1,2023
20230224,2/24/2023,Friday,8,February,Feb,2,1,2023
20230225,2/25/2023,Saturday,8,February,Feb,2,1,2023
20230226,2/26/2023,Sunday,9,February,Feb,2,1,2023
20230227,2/27/2023,Monday,9,February,Feb,2,1,2023
20230228,2/28/2023,Tuesday,9,February,Feb,2,1,2023
20230301,3/1/2023,Wednesday,9,March,Mar,3,1,2023
20230302,3/2/2023,Thursday,9,March,Mar,3,1,2023
20230303,3/3/2023,Friday,9,March,Mar,3,1,2023
20230304,3/4/2023,Saturday,9,March,Mar,3,1,2023
20230305,3/5/2023,Sunday,10,March,Mar,3,1,2023
20230306,3/6/2023,Monday,10,March,Mar,3,1,2023
20230307,3/7/2023,Tuesday,10,March,Mar,3,1,2023
20230308,3/8/2023,Wednesday,10,March,Mar,3,1,2023
20230309,3/9/2023,Thursday,10,March,Mar,3,1,2023
20230310,3/10/2023,Friday,10,March,Mar,3,1,2023
20230311,3/11/2023,Saturday,10,March,Mar,3,1,2023
20230312,3/12/2023,Sunday,11,March,Mar,3,1,2023
20230313,3/13/2023,Monday,11,March,Mar,3,1,2023
20230314,3/14/2023,Tuesday,11,March,Mar,3,1,2023
20230315,3/15/2023,Wednesday,11,March,Mar,3,1,2023
20230316,3/16/2023,Thursday,11,March,Mar,3,1,2023
20230317,3/17/2023,Friday,11,March,Mar,3,1,2023
20230318,3/18/2023,Saturday,11,March,Mar,3,1,2023
20230319,3/19/2023,Sunday,12,March,Mar,3,1,2023
20230320,3/20/2023,Monday,12,March,Mar,3,1,2023
20230321,3/21/2023,Tuesday,12,March,Mar,3,1,2023
20230322,3/22/2023,Wednesday,12,March,Mar,3,1,2023
20230323,3/23/2023,Thursday,12,March,Mar,3,1,2023
20230324,3/24/2023,Friday,12,March,Mar,3,1,2023
20230325,3/25/2023,Saturday,12,March,Mar,3,1,2023
20230326,3/26/2023,Sunday,13,March,Mar,3,1,2023
